study_id,task,run_id,arm,pair_id,cohort,stage,n,vendi,status
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,analogy,jubias-pair-001,230f38543aaf,solution,7,1.9212130755924925,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,baseline,jubias-pair-001,230f38543aaf,solution,11,1.7123445517039058,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,analogy,jubias-pair-002,230f38543aaf,solution,17,1.7413720646162938,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,baseline,jubias-pair-002,230f38543aaf,solution,9,1.5241118119113009,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,analogy,jubias-pair-003,230f38543aaf,solution,10,2.012947006735217,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,baseline,jubias-pair-003,230f38543aaf,solution,17,1.5841049479245277,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,analogy,jubias-pair-004,230f38543aaf,solution,13,1.7919532733279624,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-004-baseline-7cbc6d0e-1c6f-4092-a51e-69d2c716e82c,baseline,jubias-pair-004,230f38543aaf,solution,16,1.6768794129413171,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-005-analogy-63fda2a5-3525-4c7c-b338-70771f48db71,analogy,jubias-pair-005,230f38543aaf,solution,16,2.234791419854372,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-005-baseline-cf3aa6fa-d637-47c0-82a7-f1993a3fd7b6,baseline,jubias-pair-005,230f38543aaf,solution,16,1.6974147937462443,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-006-analogy-52bf396f-ae55-4c66-8193-32d654b36f85,analogy,jubias-pair-006,230f38543aaf,solution,15,1.8955267072043183,descriptive_unmatched_counts
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-006-baseline-9c6629d3-6ce1-449a-974f-e7a80dae95ac,baseline,jubias-pair-006,230f38543aaf,solution,18,1.7005354054239317,descriptive_unmatched_counts
