study_id,task,run_id,arm,stage,view,pair_id,n_candidates,n_available,n_valid,n_not_verified_completed,n_changed,n_no_change,n_insufficient,n_missing,n_errors,n_pending,n_excluded,changed_fraction,no_change_fraction,insufficient_fraction,issues,run,reason,runs
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,analogy,draft,implementation,jubias-pair-001,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,missing_summary_api_key,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,analogy,improve,implementation,jubias-pair-001,6,0,6,0,0,0,0,0,6,0,0,0.0,0.0,0.0,missing_summary_api_key,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,baseline,,implementation,jubias-pair-001,10,0,5,5,0,0,0,10,0,0,0,0.0,0.0,0.0,missing_stage_or_parent_evidence,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,baseline,draft,implementation,jubias-pair-001,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,missing_summary_api_key,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,analogy,,implementation,jubias-pair-002,17,0,16,1,0,0,0,17,0,0,0,0.0,0.0,0.0,invalid_adoption_call_id,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,baseline,,implementation,jubias-pair-002,8,0,7,1,0,0,0,8,0,0,0,0.0,0.0,0.0,missing_stage_or_parent_evidence,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,baseline,draft,implementation,jubias-pair-002,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,missing_summary_api_key,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,analogy,,implementation,jubias-pair-003,10,0,7,3,0,0,0,10,0,0,0,0.0,0.0,0.0,invalid_adoption_call_id,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,baseline,,implementation,jubias-pair-003,16,0,16,0,0,0,0,16,0,0,0,0.0,0.0,0.0,missing_stage_or_parent_evidence,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,baseline,draft,implementation,jubias-pair-003,1,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,missing_summary_api_key,,,
