study_id,task,run_id,arm,stage,view,pair_id,n_candidates,n_available,n_valid,n_not_verified_completed,n_missing,n_errors,n_pending,n_excluded,issues,run,reason
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,analogy,solution,implementation,jubias-pair-001,7,7,7,0,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,baseline,solution,implementation,jubias-pair-001,11,11,6,5,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,analogy,solution,implementation,jubias-pair-002,17,17,16,1,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,baseline,solution,implementation,jubias-pair-002,9,9,8,1,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,analogy,solution,implementation,jubias-pair-003,10,10,7,3,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,baseline,solution,implementation,jubias-pair-003,17,17,16,1,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,analogy,solution,implementation,jubias-pair-004,13,13,13,0,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-004-baseline-7cbc6d0e-1c6f-4092-a51e-69d2c716e82c,baseline,solution,implementation,jubias-pair-004,16,16,16,0,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-005-analogy-63fda2a5-3525-4c7c-b338-70771f48db71,analogy,solution,implementation,jubias-pair-005,16,16,15,1,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-005-baseline-cf3aa6fa-d637-47c0-82a7-f1993a3fd7b6,baseline,solution,implementation,jubias-pair-005,16,16,15,1,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-006-analogy-52bf396f-ae55-4c66-8193-32d654b36f85,analogy,solution,implementation,jubias-pair-006,15,15,13,2,0,0,0,0,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-006-baseline-9c6629d3-6ce1-449a-974f-e7a80dae95ac,baseline,solution,implementation,jubias-pair-006,18,18,17,1,0,0,0,0,,,
,,,,,,,,,,,,,,,,jubias-pair-001-analogy,no_verified_source_candidates
,,,,,,,,,,,,,,,,jubias-pair-001-analogy-431ea4fc-f031-43bb-bdf5-a8e28bc9e787,no_verified_source_candidates
,,,,,,,,,,,,,,,,jubias-pair-001-analogy-67de599d-d71d-4987-af7b-58469549f21e,no_verified_source_candidates
,,,,,,,,,,,,,,,,jubias-pair-001-baseline,no_verified_source_candidates
,,,,,,,,,,,,,,,,jubias-pair-004-analogy-1d27d282-3a8c-483b-a230-06143ca33405,manual:interrupted_initial_attempt_replaced_by_completed_rerun
,,,,,,,,,,,,,,,,jubias-pair-004-baseline-0b96a385-1ed1-46ab-a40a-6748936a9a03,manual:host_uvm_failure_replaced_by_completed_rerun
,,,,,,,,,,,,,,,,jubias-pair-005-analogy-221d48b3-c95c-4646-bdd6-924c1fd1d22f,manual:gpu_failure_replaced_by_completed_rerun
,,,,,,,,,,,,,,,,jubias-pair-005-baseline-fd741ba9-6ba9-4d20-b607-bcd9a22c22e1,manual:host_uvm_failure_replaced_by_completed_rerun
,,,,,,,,,,,,,,,,jubias-pair-006-analogy-89485097-7cf6-488d-b7e9-9e714a821a05,manual:incomplete_initial_attempt_replaced_by_completed_rerun
,,,,,,,,,,,,,,,,jubias-pair-006-analogy-db60581a-f7ec-4c16-83c0-6fbb1379d6d8,manual:host_uvm_failure_replaced_by_completed_rerun
,,,,,,,,,,,,,,,,jubias-pair-006-baseline-2ef1b7bc-11e6-451b-ae43-cfc8fe26baa1,manual:interrupted_initial_attempt_replaced_by_completed_rerun
